被投企业名称 ,资讯标题,简要,发布日期,SENTIMENT,来源,详细资讯,BUSI_TYPE,被投企业id
华泰证券（上海）资产管理有限公司,近期多家光伏公司纷纷签下大单进行扩产 板块业绩高增的滞涨股名单有这些,"光伏行业近期已出现新一轮扩产的苗头，近期多家光伏公司纷纷签下大单进行扩产。
从最新滚动市盈率角度看，亚玛顿、清源股份、太阳能等滚动市盈率均低于30倍。
",2021/01/22 23:57,正面信息,第一财经,https://www.yicai.com/news/100925651.html,LP,91310000312590222J
科大讯飞股份有限公司,深股通本周现身46只个股龙虎榜,"本周上榜龙虎榜个股中，共有46只个股前五大买卖营业部中出现深股通专用席位的身影。
",2021/01/22 23:57,正面信息,第一财经,https://www.yicai.com/news/100925635.html,VC,91340000711771143J
华泰证券（上海）资产管理有限公司,4只券商股AH溢价率超200% 专家称AH股价差将越来越小,"本报记者 周尚伃
粤开证券研究院首席市场分析师殷越认为，“由于两地的估值水平，参与机构的认知等股价相关影响因素不同，导致AH股价存在长期的价差。
国信证券经济研究所首席策略分析师燕翔则认为，“导致A股和H股价值偏离现象的原因有多个方面，其中很大一部分来源于两地市场基本制度还有红利政策方面的差异。
对于港股中的券商股，国信证券（香港）金融控股分析师韩卫东认为，“虽然2020年证券业再迎增长大年，但行业主要品种港股市场表现并不算突出。
对于AH券商股未来价差的走势，赵亚赟向《证券日报》记者表示：“未来随着港股的回暖，内地资金大量涌入，可能会逐渐掌握港股定价权。
",2021/01/22 23:44,正面信息,证券日报,http://www.zqrb.cn/jrjg/quanshang/2021-01-22/A1611329794799.html,LP,91310000312590222J
国网电动汽车服务有限公司,解局 | 中海“后天”生意,"观点地产网新能源汽车已然成为了一个资本热词。
股市欢腾中，新能源汽车板块尤其大涨，成为引领A股市场盘中冲高的重要力量。
通过近年的策略调整，中海从单纯的住宅开发商向国际化不动产开发运营集团转型。
具体而言，就是将中海内部资源分配90%予住宅，8%予商业地产，2%予创新业务。
N，在当下语境中，则指向了新能源汽车产业链上的充电桩。
",2021/01/22 23:42,中性信息,观点,http://www.guandian.cn/article/20210122/254230.html,CR,91110000MA002TMQXN
比亚迪股份有限公司,赵明访谈：荣耀会有自己的 “Mate”和 “P”系列，今年合适的时候推出,"IT之家1月22日消息荣耀重组后的首款机型现已发布。
新营销的产品渠道、品牌建设，团队构成等方面做了哪些调整？
未来的荣耀，会在全球最优秀的供应伙伴之间选择。
全球都还在进行子公司的注册，目前一切顺利，估计 2020 年一季度末和二季度初，会逐步的恢复。
都是来自华为，切割的过程到 2020 年年底已经靠一段落。
",2021/01/22 23:41,中性信息,IT之家,https://www.ithome.com/0/531/689.htm,VC,91440300192317458F
中国移动,中国移动，这件事瞒不住了！,"2021年1月19日，在2020年央企经济运行情况新闻发布会上，国务院新闻发言人表示，2020年在全社会运行方面，降低成本1965亿元，其中三大通信运营商贯彻落实提速降费要求，让利约460亿元，占比高达23.4%，可见三大通信运营商依旧是让利大头。
在刚刚过去的一年里，中国移动继续落实提速降费，让利力度应该是三家中最大的，毕竟此前中国移动资费相对更贵，如今已经基本持平了。
",2021/01/22 23:41,负面信息,搜狐网,https://www.sohu.com/a/446213343_100030976,VR,169c9c34371b6df92f69c3d456a8fec4
中国移动有限公司,中国移动，这件事瞒不住了！,"2021年1月19日，在2020年央企经济运行情况新闻发布会上，国务院新闻发言人表示，2020年在全社会运行方面，降低成本1965亿元，其中三大通信运营商贯彻落实提速降费要求，让利约460亿元，占比高达23.4%，可见三大通信运营商依旧是让利大头。
在刚刚过去的一年里，中国移动继续落实提速降费，让利力度应该是三家中最大的，毕竟此前中国移动资费相对更贵，如今已经基本持平了。
",2021/01/22 23:41,负面信息,搜狐网,https://www.sohu.com/a/446213343_100030976,VR,16e59f9adefb76200c8872e421f89e2d
南方基金管理股份有限公司,仅花了7400元：公募基金史上最低自购金额出炉！“最不自信”的券商资管竟是TA……,"每经记者：李娜 每经编辑：何剑岭
随着公募基金2020年四季报全部披露完毕，基金公司对自家基金产品的呵护之举也一览无余。
2020年A股持续牛市，基金公司的自购行动也同基民一样，都是赚得盆满钵满。
如果从单只基金申购金额来看，Wind数据显示，自2005年以来单只基金最低申购金额记录此前出现在2013年：2013年3月29日，华宝兴业基金公司申购华宝医药生物基金只掏出了1万元，获得了0.74万份份额。
抛开新基金发行，很多时候基金公司的自购行动往往在一定程度上彰显出较为强烈的自信心。
",2021/01/22 23:41,负面信息,搜狐网,https://www.sohu.com/a/446215680_115362,VC,91440300279533137K
中国人保资产管理有限公司,仅花了7400元：公募基金史上最低自购金额出炉！“最不自信”的券商资管竟是TA……,"每经记者：李娜 每经编辑：何剑岭
随着公募基金2020年四季报全部披露完毕，基金公司对自家基金产品的呵护之举也一览无余。
2020年A股持续牛市，基金公司的自购行动也同基民一样，都是赚得盆满钵满。
如果从单只基金申购金额来看，Wind数据显示，自2005年以来单只基金最低申购金额记录此前出现在2013年：2013年3月29日，华宝兴业基金公司申购华宝医药生物基金只掏出了1万元，获得了0.74万份份额。
抛开新基金发行，很多时候基金公司的自购行动往往在一定程度上彰显出较为强烈的自信心。
",2021/01/22 23:41,负面信息,搜狐网,https://www.sohu.com/a/446215680_115362,VC,913100007109314916
中兴通讯股份有限公司,单季盈利16.55亿背后：中兴通讯做了三个正确选择,"12月22日晚间，中兴通讯发布了2020年度业绩快报。
这是相当靓丽的业绩表现。
这为中兴通讯的5G产品赋予了强大的技术创新力和竞争力。
当前主设备商格局已高度集中，厂商间竞争更趋激烈。
中兴通讯很早就开启了国际化之旅，一直以来国内业务与海外业务并重。
",2021/01/22 23:40,中性信息,搜狐网,https://www.sohu.com/a/446213834_234937,VC,9144030027939873X7
青岛特锐德电气股份有限公司,引入投资约3亿元！特锐德或迎盈亏拐点,"站在“新基建”风口上的特锐德，因其子公司特来电通过增资扩股引入战投，再次成为外界关注的焦点。
2021年1月19日晚，特锐德发布公告，同意子公司特来电通过增资扩股方式引进战略投资者，本次增资总金额约3亿元，投前估值约为130亿元。
1月19日晚，特锐德发布公告称，公司日前同意子公司特来电通过增资扩股方式引进战略投资者，本次增资总金额约3亿元，增发股份的价格为14.6元/股，投前估值约为130亿元。
新基建风口已来，站在风口上的充电桩行业，机遇挑战接踵而来。
在新能源汽车蓬勃兴起的过程中，新能源汽车基础设施更是成为资本市场的热点之一。
",2021/01/22 23:40,负面信息,搜狐网,https://www.sohu.com/a/446211887_349481,CR,9137020075693361XY
深圳市创鑫激光股份有限公司,注册制发行从严趋势延续！月内10家企业终止，9种情形将“终结”企业IPO,"进入2021年，注册制IPO依旧延续了上一年12月趋严的态势。
1月份以来，已有10家企业终止发行，其中速达股份在上市委会议中被否，多想互动则在提交注册环节主动撤回，上海拓墣在回复问询阶段被保荐机构撤回。
从撤回材料的企业来看，业绩波动调整和难以满足上市条件是重要原因。
而2020年12月，创业板共有13家企业出现终止发行的情形，科创板则有15家。
进入提交注册环节并不代表企业已经“安全上垒”，最近的案例发生在1月11日。
",2021/01/22 23:37,负面信息,财联社,https://www.cls.cn/detail/670583,VC,91440300757627219D
华龙证券股份有限公司,注册制发行从严趋势延续！月内10家企业终止，9种情形将“终结”企业IPO,"进入2021年，注册制IPO依旧延续了上一年12月趋严的态势。
1月份以来，已有10家企业终止发行，其中速达股份在上市委会议中被否，多想互动则在提交注册环节主动撤回，上海拓墣在回复问询阶段被保荐机构撤回。
从撤回材料的企业来看，业绩波动调整和难以满足上市条件是重要原因。
而2020年12月，创业板共有13家企业出现终止发行的情形，科创板则有15家。
进入提交注册环节并不代表企业已经“安全上垒”，最近的案例发生在1月11日。
",2021/01/22 23:37,负面信息,财联社,https://www.cls.cn/detail/670583,CR,91620000719077033J
上海凯赛生物技术股份有限公司,注册制发行从严趋势延续！月内10家企业终止，9种情形将“终结”企业IPO,"进入2021年，注册制IPO依旧延续了上一年12月趋严的态势。
1月份以来，已有10家企业终止发行，其中速达股份在上市委会议中被否，多想互动则在提交注册环节主动撤回，上海拓墣在回复问询阶段被保荐机构撤回。
从撤回材料的企业来看，业绩波动调整和难以满足上市条件是重要原因。
而2020年12月，创业板共有13家企业出现终止发行的情形，科创板则有15家。
进入提交注册环节并不代表企业已经“安全上垒”，最近的案例发生在1月11日。
",2021/01/22 23:37,负面信息,财联社,https://www.cls.cn/detail/670583,CR,913100007030116706
招商银行股份有限公司,再挺中信证券,"今晚，券商们发了业绩快报。
2020年过去了，2021年已开始近一个月了，然而券商们的股价表现远弱了市场指数，唯东方财富趋势向东北。
从大的逻辑看，市场指数慢牛的逻辑是确定性的，市场全面注册制的逻辑是确定性的。
曾经资金的炒作，中信建投一度在市值上超越过中信证券，那么东方财富也有可能做到，届时东财也就到顶了。
",2021/01/22 23:33,中性信息,雪球网,https://xueqiu.com/7457792721/169628786,VC,9144030010001686XA
工商银行投资部,再挺中信证券,"今晚，券商们发了业绩快报。
2020年过去了，2021年已开始近一个月了，然而券商们的股价表现远弱了市场指数，唯东方财富趋势向东北。
从大的逻辑看，市场指数慢牛的逻辑是确定性的，市场全面注册制的逻辑是确定性的。
曾经资金的炒作，中信建投一度在市值上超越过中信证券，那么东方财富也有可能做到，届时东财也就到顶了。
",2021/01/22 23:33,中性信息,雪球网,https://xueqiu.com/7457792721/169628786,VR,169c9c90a2b3c6bf6f2b1334528a5f4b
工商银行投资部,开罚单、拉名单，金融监管“牙齿”咬了谁？,"中国银保监会22日公布数据显示，疫情之下，2020年银行业保险业继续保持稳健运行良好态势，主要经营和风险指标处于合理区间。
但平稳背后亦有暗流涌动。
去年以来，银保监会高层多次发声，强调从多方面推动金融机构加强内控管理，完善公司治理机制。
银保监会主席郭树清此前曾撰文指出，中国经济正处于转向高质量发展的关键时期，金融业市场结构、经营理念和服务方式与高质量发展要求还很不适应。
中信证券分析师明明认为，“十四五”时期中国金融监管改革任务更加艰巨，必须提高金融监管透明度和法治化水平。
",2021/01/22 23:32,中性信息,凤凰网,https://finance.ifeng.com/c/83FT2AcMKyJ,VR,169c9c90a2b3c6bf6f2b1334528a5f4b
广东粤财信托有限公司,易方达基金火了！管理1.8万亿资产，股东背后浮现美的何剑锋,"如今，“基金”上热搜的频率已经快赶上“股市”了，这一次的主角是易方达基金。
2021年1月22日，上交所发公告于10:15-11:30暂停了包括易方达创新未来18个月封闭运作混合型证券投资基金等5只封闭基金交易业务。
就在前一天易方达基金经理张坤被封“一哥”。
张坤号称公募界的“巴菲特”，从业8年以来，他的年均回报达到19.11%，堪比巴菲特的21%。
",2021/01/22 23:23,负面信息,腾讯网,https://new.qq.com/omn/20210122/20210122A0DEEQ00.html,VC,9144000019033350XP
比亚迪股份有限公司,分拆“新势力”涌进科创板,"本周由港股天能动力分拆至科创板的天能股份正式上市，去年四季度以来，分拆上市进入提速期。
比如，海康威视日前公告称，公司拟将其控股子公司萤石网络整体变更为股份有限公司后，分拆至科创板上市。
近日有消息称，目前绿地控股已经和两家央企进行了深入的接触。
此外，目前有三类公司分拆动力强。
",2021/01/22 23:20,中性信息,证券之星,https://finance.stockstar.com/IG2021012200006198.shtml,VC,91440300192317458F
