投资主体简称,投资主体全称,已过投决公司简称,已过投决公司全称,历史信息关键词
中信证券投资,中信证券投资有限公司,飞宇科技,苏州飞宇精密科技股份有限公司,盘中
中证投资,中信证券投资有限公司,爱玛科技,爱玛科技集团股份有限公司,盘面
中信投资,中信证券投资有限公司,东湖高新,武汉东湖高新集团股份有限公司,大盘
金石灏汭,青岛金石灏汭投资有限公司,联影医疗,金石伍通汭信股权投资（杭州）合伙企业（有限合伙）,儿子
金石沣汭,金石沣汭投资管理（杭州）有限公司,联影,上海联影医疗科技有限公司,昨天
金石新汭,金石新汭股权投资（杭州）合伙企业（有限合伙）,悦康药业,悦康药业集团股份有限公司,前天
金石翊康,金石翊康股权投资（杭州）合伙企业（有限合伙）,金时科技,四川金时科技股份有限公司,咱们
金石坤享,金石坤享股权投资（杭州）合伙企业（有限合伙）,益客食品,江苏益客食品集团股份有限公司,我
金石利璟,金石利璟股权投资（杭州）合伙企业（有限合伙）,三峡新能源,中国三峡新能源（集团）股份有限公司,你
金石金汭,金石金汭股权投资（杭州）合伙企业（有限合伙）,中国船舶,同程艺龙控股有限公司,半日
金石智娱,金石智娱股权投资（杭州）合伙企业（有限合伙）,康希诺,康希诺生物股份公司,昨日
金石灏沣,金石灏沣股权投资（杭州）合伙企业（有限合伙）,赛诺医疗,赛诺医疗科学技术股份有限公司,北向资金
金石银翼,金石银翼股权投资（杭州）合伙企业（有限合伙）,智同生物,河北智同生物制药股份有限公司,追涨
金石智信,青岛金石智信投资中心（有限合伙）,恩威药业,恩威医药股份有限公司,
,,同程旅游,深圳金湦投资企业（有限合伙）,
,,寒武纪,中科寒武纪科技股份有限公司,
,,博纳影业,博纳影业集团股份有限公司,
,,葫芦娃,海南葫芦娃药业集团股份有限公司,
,,第四范式,深圳市前海第四范式数据技术有限公司,
,,英利汽车,长春英利汽车工业股份有限公司,
,,巴莫项目,天津巴莫科技有限责任公司,
,,华大智造,深圳华大智造科技股份有限公司,
,,华友新能源,浙江华友新能源科技有限公司,
,,微众税银,深圳微众信用科技股份有限公司,
,,Insta360,影石创新科技股份有限公司,
,,影石创新,影石创新科技股份有限公司,
,,深圳博纳,深圳博纳精密给药系统股份有限公司,
,,博纳精密,深圳博纳精密给药系统股份有限公司,
,,洲宇科技,四川洲宇建筑设计有限公司,
,,洲宇设计,四川洲宇建筑设计有限公司,
,,洲宇建设,四川洲宇建筑设计有限公司,
,,乐华家居,箭牌家居集团股份有限公司,
,,箭牌家居,箭牌家居集团股份有限公司,
,,箭牌卫浴,箭牌家居集团股份有限公司,
,,维远化工,利华益维远化学股份有限公司,
,,维远化学,利华益维远化学股份有限公司,
,,天广实,北京天广实生物技术股份有限公司,
,,星星冷链,浙江星星冷链集成股份有限公司,
,,移宇科技,上海移宇科技股份有限公司,
,,上海兆维,上海兆维科技发展有限公司,
,,亿联客,青岛易来智能科技股份有限公司,
,,易来智能,青岛易来智能科技股份有限公司,
,,yeelight,青岛易来智能科技股份有限公司,
,,思必驰,苏州思必驰信息科技有限公司,
,,紫光展锐,紫光展锐（上海）科技有限公司,
,,龙铁纵横,龙铁纵横（北京）轨道交通科技股份有限公司,
,,龙铁,龙铁纵横（北京）轨道交通科技股份有限公司,
,,鼎泰高科,广东鼎泰高科精工科技有限公司,
,,鼎泰,广东鼎泰高科精工科技有限公司,
,,海光信息,海光信息技术有限公司,
,,海光,海光信息技术有限公司,
,,鸿安机械,苏州鸿安机械有限公司,
,,鸿安,苏州鸿安机械有限公司,
,,丛麟环保,上海丛麟环保科技有限公司,
,,丛麟,上海丛麟环保科技有限公司,
,,联影智慧,上海联影智慧医疗投资管理有限公司,
,,联影智能,上海联影智能医疗科技有限公司,
,,同程控股,同程控股集团股份有限公司,
,,同程,同程控股集团股份有限公司,
,,同程艺龙,Tongcheng-Elong Holdings Limited,
,,Tongcheng,Tongcheng-Elong Holdings Limited,
,,开磷集团,贵州开磷集团股份有限公司,
,,成都娱音,成都娱音科技股份有限公司,
,,净雅食品,净雅食品股份有限公司,
,,普乐新能源,普乐新能源（蚌埠）有限公司,
,,华融租赁,华融金融租赁股份有限公司,
,,财富趋势,深圳市财富趋势科技股份有限公司,
,,运价交易所,上海航运运价交易有限公司,
,,航运交易所,上海航运运价交易有限公司,
,,鸿禧能源,浙江鸿禧能源股份有限公司,
,,旭阳雷迪,江西旭阳雷迪高科技股份有限公司,
,,南岳电控,南岳电控（衡阳）工业技术股份有限公司,
,,德才装饰,德才装饰股份有限公司,
,,记忆科技,记忆科技（深圳）有限公司,
,,延长化建,陕西延长石油化建股份有限公司,
,,延长石油,陕西延长石油化建股份有限公司,
,,天居园科技,北京天居园科技有限公司,
,,鲁南纸业,山东鲁南新材料股份有限公司,
,,中标集团,中标建设集团股份有限公司,
,,道通科技,深圳市道通科技股份有限公司,
,,丹玉种业,辽宁丹玉种业科技股份有限公司,
,,龙舟农机,湖南龙舟农机股份有限公司,
,,天宜上佳,北京天宜上佳高新材料股份有限公司,
,,锤子科技,锤子科技（北京）股份有限公司,
,,舒华体育,舒华体育股份有限公司,
,,哈嘿电子,哈嘿（北京）电子商务有限公司,
,,瞪羚金石,北京瞪羚金石股权投资中心（有限合伙）,
,,航天环宇,湖南航天环宇通信科技股份有限公司,
,,中科飞鸿,北京中科飞鸿科技股份有限公司,
,,天诺光电,天诺光电材料股份有限公司,
,,中石化销售,青岛金石智信投资中心（有限合伙）,
,,珠海银隆,银隆新能源股份有限公司,
,,汇福康,北京汇福康医疗技术股份有限公司,
,,华通线缆,河北华通线缆集团股份有限公司,
,,顶点软件,福建顶点软件股份有限公司,
,,边城体育,南京边城体育用品股份有限公司,
,,索元生物,索元生物医药（杭州）有限公司,
,,互爱科技,互爱（北京）科技股份有限公司,
,,墨麟股份,深圳墨麟科技股份有限公司,
,,微播易,北京微播易科技股份有限公司,
,,陕西源杰,陕西源杰半导体技术有限公司,
,,方正电机,浙江方正电机股份有限公司,
,,云南黄金,深圳金石金成投资合伙企业（有限合伙）,
,,易点天下,易点天下网络科技股份有限公司,
,,刚毅科技,四川刚毅科技集团有限公司,
,,理昂新能源,理昂生态能源股份有限公司,
,,优必选,深圳市优必选科技有限公司,
,,宏动科技,北京宏动科技有限公司,
,,慧辰资讯,北京慧辰资道资讯股份有限公司,
,,西安明日宇航,西安明日宇航工业有限责任公司,
,,锦欣生殖,四川锦欣生殖医疗管理有限公司 ,
,,棒谷网络,广州棒谷科技股份有限公司,
,,洁绿科技,北京洁绿环境科技股份有限公司,
,,宏伟供应,浙江宏伟供应链集团股份有限公司,
,,奥比中光,深圳奥比中光科技有限公司,
,,华龙证券,华龙证券股份有限公司,
,,铂力特,西安铂力特增材技术股份有限公司,
,,康宁医院,温州康宁医院股份有限公司,
,,苑东生物,成都苑东生物制药股份有限公司,
,,苑东制药,成都苑东生物制药股份有限公司,
,,中奥科技,杭州中奥科技有限公司,
